PrimaryId,Company,Team_Leader_Id,Emp_Id,Employee Name,Designation,DesignationGroup,Department,Zone,Client Id,ClientEmp_Id,Client_Name,Client Type,Client Type Group,Client_Type1,State,City,Source_Id,SourceEmp_Id,SourceName,SourceCode,SourceType,SourceTypeGroup,CustomSourceId,Order_Id,Product_Id,Variant_Id,OrderDate,Order Amount,Remaining Amount,QuotationID,DiscountType,OrderSystemDate,Product Name,ProductDivision,Variant_Name,Unit Price,MRP,ProductGST,Category Type,Total Discount,Order Products Date,Product_Category,Product_Code,Sale Price
673293,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45747.6079601505,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
742477,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45754.5812766551,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
847335,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45758.6515428241,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
901352,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45762.4848608796,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
949048,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45762.6319853009,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
1045705,168,56611,56336,K.C.AGENCIES-JODHPUR,Distributor,Distributor,Traders,West,9256191,56315,K.C.AGENCIES-JODHPUR,SUPER STOCKIST,Other,Company,Rajasthan,JODHPUR,9241107,56316,Bikaner,,Company,Other,9241107,21282515,418317,819360,5/29/2024,80573.11,80573.11,21282513,Fixed,45763.6581306713,Achar Matthi 400G*11.2,BigPacking,Achar Matthi 400G*11.2 - FG001404,89.29,100,12,Regular,200.01,45441,ACHAR MATTHI,21069099,1200.06
134763,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45733.6889049421,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
205680,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45734.5085240394,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
279945,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45734.6794542014,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
369049,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45734.7999868056,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
416053,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45736.489987581,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
517131,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45740.7084454514,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
571581,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45742.6493364931,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
637478,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45747.6079601505,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
710841,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45754.5812766551,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
847179,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45758.6515428241,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
870851,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45762.4848608796,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
968971,168,56315,56335,CHAITANYA TRADERS - JODHPUR,Distributor,Distributor,Distributions,West,9271628,56586,CHAITANYA TRADERS - JODHPUR,DB,Secondary,Company,Andaman and Nicobar Islands,Neil Island,9256190,56315,CHAITANYA TRADERS - JODHPUR,DIST001,DB,Other,9256190,21307973,418802,819913,8/1/2024,377321.49,377321.49,1722534271681,Fixed,45762.6319853009,Almond Brittle 54gm*3.88,SmallPacking,Almond Brittle 54gm*3.88 - FG005658,101.69,120,18,Regular,18.31,45505,Almond Brittle,1904109018,91.52
